location,year,population
"Pittsburgh, Pennsylvania",2018,300570
"Arlington, Texas",2018,398123
"Houston, Texas",2018,2318573
"Seattle, Washington",2018,742235
"Milwaukee, Wisconsin",2018,591375
"Phoenix, Arizona",2019,1680992
"Anaheim, California",2019,350365
"Los Angeles, California",2019,3979576
"Oakland, California",2019,433031
"San Diego, California",2019,1423851
"San Francisco, California",2019,881549
"Denver, Colorado",2019,727211
"Washington, District of Columbia",2019,705749
"Miami, Florida",2019,467963
"St. Petersburg, Florida",2019,265351
"Atlanta, Georgia",2019,506811
"Chicago, Illinois",2019,2693976
"Baltimore, Maryland",2019,593490
"Boston, Massachusetts",2019,692600
"Detroit, Michigan",2019,670031
"Minneapolis, Minnesota",2019,429606
"Kansas, Missouri",2019,495327
"St. Louis, Missouri",2019,300576
"New York, New York",2019,8336817
"Cincinnati, Ohio",2019,303940
"Cleveland, Ohio",2019,381009
"Philadelphia, Pennsylvania",2019,1584064
"Pittsburgh, Pennsylvania",2019,300286
"Arlington, Texas",2019,398854
"Houston, Texas",2019,2320268
"Seattle, Washington",2019,753675
"Milwaukee, Wisconsin",2019,590157
"Phoenix, Arizona",2020,1612337
"Anaheim, California",2020,347105
"Los Angeles, California",2020,3895836
"Oakland, California",2020,440873
"San Diego, California",2020,1386872
"San Francisco, California",2020,870393
"Denver, Colorado",2020,717556
"Washington, District of Columbia",2020,670868
"Miami, Florida",2020,442799
"St. Petersburg, Florida",2020,258997
"Atlanta, Georgia",2020,499868
"Chicago, Illinois",2020,2740076
"Baltimore, Maryland",2020,583139
"Boston, Massachusetts",2020,671570
"Detroit, Michigan",2020,637342
"Minneapolis, Minnesota",2020,430684
"Kansas, Missouri",2020,508183
"St. Louis, Missouri",2020,300483
"New York, New York",2020,8740647
"Cincinnati, Ohio",2020,309574
"Cleveland, Ohio",2020,371817
"Philadelphia, Pennsylvania",2020,1600600
"Pittsburgh, Pennsylvania",2020,302762
"Arlington, Texas",2020,394212
"Houston, Texas",2020,2299867
"Seattle, Washington",2020,740520
"Milwaukee, Wisconsin",2020,576511
"Phoenix, Arizona",2021,1625356
"Anaheim, California",2021,346174
"Los Angeles, California",2021,3837986
"Oakland, California",2021,436291
"San Diego, California",2021,1374484
"San Francisco, California",2021,811253
